timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
95452288.0, 0.0017089844, -0.019348145, -0.96832275, -0.046875, -0.046875, 0.125
95452336.0, -0.0017089844, -0.022033691, -0.96881104, -0.03125, -0.15625, 0.0
95452352.0, -0.004638672, -0.015930176, -0.960022, -0.171875, -0.0625, 0.015625
95452360.0, -0.004638672, -0.016906738, -0.96954346, -0.1875, -0.09375, 0.109375
95452368.0, 0.004638672, -0.01373291, -0.9656372, -0.234375, -0.1875, 0.09375
95452408.0, 0.001953125, -0.01739502, -0.9678345, -0.09375, -0.203125, 0.0625
95452416.0, -0.0041503906, -0.017150879, -0.9639282, -0.09375, 0.015625, 0.140625
95452456.0, -0.0031738281, -0.020080566, -0.96759033, -0.078125, -0.03125, 0.140625
95452464.0, 0.0007324219, -0.018859863, -0.9612427, -0.234375, -0.203125, -0.015625
95452480.0, -0.0021972656, -0.018859863, -0.9631958, -0.1875, -0.15625, -0.015625
95452488.0, -0.0014648438, -0.0154418945, -0.9697876, -0.046875, -0.09375, 0.078125
95452528.0, 0.0, -0.019592285, -0.9661255, 0.0625, -0.171875, 0.046875
95452528.0, -0.0043945312, -0.010803223, -0.96710205, -0.234375, -0.046875, -0.0625
95452576.0, -0.0024414062, -0.01739502, -0.96588135, -0.109375, -0.125, 0.0
95452592.0, 0.0007324219, -0.020080566, -0.9661255, -0.078125, -0.171875, 0.0
95452600.0, -0.0061035156, -0.0154418945, -0.9656372, -0.015625, -0.1875, 0.015625
95452608.0, -0.0012207031, -0.01739502, -0.96221924, -0.21875, -0.125, 0.046875
95452648.0, 0.0007324219, -0.018615723, -0.9678345, -0.21875, 0.0, 0.046875
95452656.0, -0.0036621094, -0.011779785, -0.9678345, -0.03125, -0.21875, 0.09375
95452680.0, -0.0034179688, -0.016418457, -0.9697876, -0.015625, -0.171875, 0.015625
95452680.0, -0.0014648438, -0.014709473, -0.9668579, -0.15625, -0.0625, -0.03125
95452720.0, 0.00024414062, -0.016906738, -0.96588135, -0.15625, -0.1875, -0.046875
95452728.0, -0.0007324219, -0.019104004, -0.9690552, -0.171875, 0.046875, 0.109375
95452768.0, -0.00024414062, -0.01739502, -0.96881104, -0.09375, -0.203125, 0.0625
95452768.0, -0.0009765625, -0.01739502, -0.9631958, -0.046875, -0.015625, 0.046875
95453128.0, -0.00024414062, -0.02130127, -0.9714966, -0.140625, -0.25, 0.046875
95453160.0, -0.0029296875, -0.022277832, -0.9685669, -0.125, -0.140625, -0.015625
95453168.0, -0.0012207031, -0.019836426, -0.9680786, -0.21875, -0.1875, 0.015625
95453192.0, -0.0024414062, -0.016174316, -0.9680786, -0.265625, -0.15625, -0.078125
95453200.0, -0.0031738281, -0.021057129, -0.96173096, -0.140625, -0.15625, -0.03125
95453232.0, -0.0026855469, -0.0154418945, -0.9644165, -0.0625, 0.0, 0.078125
95453248.0, -0.0021972656, -0.020812988, -0.9702759, -0.046875, -0.125, 0.015625
95453280.0, -0.0034179688, -0.019348145, -0.97442627, -0.109375, -0.21875, 0.171875
95453280.0, 0.0063476562, -0.018371582, -0.96539307, 0.078125, -0.125, -0.125
95453304.0, -0.00024414062, -0.01763916, -0.9631958, -0.0625, -0.203125, -0.03125
95453312.0, 0.0007324219, -0.020812988, -0.9636841, -0.15625, -0.125, -0.03125
95453352.0, -0.0014648438, -0.018859863, -0.9636841, -0.1875, -0.140625, 0.09375
95453368.0, -0.004638672, -0.014465332, -0.9680786, -0.125, -0.109375, 0.03125
95453400.0, -0.0021972656, -0.019348145, -0.9668579, -0.078125, -0.015625, 0.140625
95453400.0, -0.0021972656, -0.014709473, -0.9624634, -0.125, -0.140625, 0.015625
95453424.0, -0.001953125, -0.019348145, -0.9636841, -0.09375, -0.140625, 0.125
95453432.0, -0.0029296875, -0.0154418945, -0.9639282, -0.0625, 0.015625, -0.125
95453472.0, -0.0031738281, -0.011779785, -0.9627075, -0.046875, -0.0625, -0.21875
95453488.0, -0.0034179688, -0.016174316, -0.96710205, -0.046875, -0.046875, -0.015625
95453504.0, -0.0056152344, -0.014953613, -0.96343994, -0.15625, -0.09375, 0.078125
95453504.0, -0.0009765625, -0.010070801, -0.97052, -0.078125, -0.0625, 0.140625
95453552.0, 0.0029296875, -0.013000488, -0.9631958, -0.03125, -0.046875, 0.125
95453552.0, 0.0012207031, -0.022766113, -0.96417236, -0.0625, 0.03125, 0.15625
95453592.0, 0.0009765625, -0.019592285, -0.96343994, -0.1875, -0.09375, -0.015625
95453608.0, -0.0012207031, -0.014709473, -0.9690552, -0.15625, -0.078125, -0.078125
